id,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_pinky_x,left_pinky_y,right_pinky_x,right_pinky_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,label
0,440.5508,1331.0874,190.79929,1353.6487,413.69852,1365.7142,203.77104,1390.766,481.17664,1444.2395,176.32526,1467.1039,501.95023,776.3601,239.29543,701.569,514.28326,829.50433,252.71301,732.376,489.04443,819.7222,266.86258,714.03174,467.7727,800.88654,269.92477,699.17755,461.1107,443.23444,217.96902,432.07172,2
1,440.5508,1331.0874,190.79929,1353.6487,413.69852,1365.7142,203.77104,1390.766,481.17664,1444.2395,176.32526,1467.1039,501.95023,776.3601,239.29543,701.569,514.28326,829.50433,252.71301,732.376,489.04443,819.7222,266.86258,714.03174,467.7727,800.88654,269.92477,699.17755,461.1107,443.23444,217.96902,432.07172,2
2,403.74457,1342.513,132.21799,1354.2322,380.51498,1378.1909,152.66806,1395.1459,426.30643,1453.954,97.59304,1460.4633,432.3648,697.7428,191.14378,517.2173,416.3511,732.3613,232.22716,505.72577,394.26062,707.0857,237.17549,467.23816,387.08472,696.5189,233.17186,472.02866,441.61353,432.10107,183.25127,419.27173,2
3,451.80344,1362.7026,176.80704,1376.8232,429.71774,1390.6951,202.25401,1412.4794,467.11957,1480.9357,139.10567,1501.2958,411.00632,496.41217,143.07117,763.41797,360.4631,476.92596,123.02701,810.6333,363.3761,441.13135,140.3439,814.81885,368.15848,450.7928,161.12825,797.7225,479.03198,410.7433,211.11465,404.07028,1
4,441.51413,1301.1985,194.75781,1304.1925,420.44434,1330.8945,214.09323,1343.7909,459.8204,1405.6172,160.051,1411.1038,401.95172,328.5762,131.12614,730.6267,376.8847,294.4022,92.826256,772.9121,381.34033,286.47922,113.24683,783.24146,381.2954,301.81433,136.01263,769.9315,483.8853,405.9244,264.67014,420.15045,1
5,427.88736,1365.9523,163.72803,1348.8335,407.99982,1396.8589,181.81364,1387.486,435.3984,1474.1528,139.86826,1455.2195,431.94547,509.88336,249.82074,225.52315,399.77206,475.13962,292.3638,199.076,405.40036,445.30444,299.8598,221.37436,404.63583,462.34653,283.93124,240.54634,474.19662,444.0744,238.0366,384.07806,1
6,435.56992,1349.6128,187.77827,1368.364,410.46097,1386.5769,208.10435,1409.0367,468.53043,1467.8608,159.4043,1485.9651,523.437,738.9133,136.46048,747.40845,533.8195,790.13184,119.61888,800.80566,511.78418,784.00964,142.72668,795.5631,490.91626,767.22504,160.8621,774.44434,469.3688,398.40698,204.03914,394.09497,1
7,467.60272,1297.8912,214.2842,1341.8271,443.49844,1331.1627,229.16524,1381.9843,499.0737,1410.6146,187.83472,1454.3329,521.7145,734.45044,220.8715,727.514,528.1726,786.5528,233.676,772.9841,496.8514,772.63403,259.5271,753.189,478.99472,756.31323,264.38565,732.8112,466.90057,430.409,210.49059,437.8977,1
8,427.56265,1321.7421,187.91422,1339.992,405.6632,1354.9255,204.33553,1375.574,450.0205,1436.2661,160.83235,1452.7308,478.73853,714.2705,238.55577,705.2494,464.09195,759.1571,260.15878,748.9689,438.0582,727.25,285.526,722.02954,435.1935,714.08386,285.5776,703.4317,454.90826,429.16266,200.5913,425.69452,2
9,411.59125,1313.9305,199.80171,1327.3018,386.66837,1347.4502,217.41211,1362.2792,444.84518,1425.5515,179.45644,1439.219,486.76398,746.0369,148.01491,714.87256,488.31332,794.7362,138.9803,762.8561,460.4444,779.7296,166.44478,751.0521,443.9287,762.6691,179.5258,731.01965,457.7089,438.4215,212.25285,422.26163,2
10,419.90912,1364.9303,152.20439,1360.8044,391.53772,1400.086,171.65405,1400.2183,449.76633,1487.517,131.43544,1480.965,637.64105,758.6105,263.95566,606.73926,679.6846,804.12177,312.51218,628.66846,671.12415,803.52,328.77444,590.053,644.4941,791.9508,311.90262,584.0247,449.6684,435.46268,180.22183,409.03467,1
